idno,ppltrst,happy,cgtsday,alcfreq,height,weight,gndr,yrbrn
923361,7,9,,Never,176.0,95.0,Male,1984.0
923379,8,8,,2-3 times a month,166.0,60.0,Female,1967.0
923395,8,8,,Several times a week,176.0,70.0,Female,1979.0
923400,8,Extremely happy,,Several times a week,180.0,70.0,Male,1946.0
923418,7,7,,Less than once a month,168.0,52.0,Female,1963.0
923426,8,8,20.0,Once a week,184.0,84.0,Male,1991.0
923434,5,9,11.0,Less than once a month,164.0,60.0,Female,1968.0
923476,7,Extremely happy,,Once a month,168.0,58.0,Female,1995.0
923492,5,9,,Once a week,166.0,60.0,Female,1953.0
923523,5,9,,Every day,172.0,59.0,Female,1945.0
923531,9,Extremely happy,,Several times a week,167.0,67.0,Female,1956.0
923557,9,9,,Once a week,182.0,76.0,Male,1984.0
923573,7,9,,2-3 times a month,155.0,61.0,Female,1987.0
923604,5,8,5.0,Less than once a month,189.0,78.0,Male,1989.0
923612,9,7,2.0,Once a month,170.0,62.0,Male,1981.0
923620,8,Extremely happy,,Several times a week,180.0,93.0,Male,1984.0
923646,You can't be too careful,Extremely happy,8.0,Less than once a month,,,Female,1948.0
923662,6,8,,2-3 times a month,163.0,62.0,Female,1976.0
923670,6,9,,Once a month,176.0,72.0,Male,1979.0
923688,5,7,10.0,2-3 times a month,164.0,63.0,Female,1990.0
923701,5,9,,Once a week,173.0,59.0,Female,1980.0
923719,7,9,,Once a week,178.0,85.0,Male,1975.0
923727,7,9,3.0,2-3 times a month,160.0,54.0,Female,1940.0
923743,9,8,2.0,Once a week,183.0,80.0,Male,1988.0
923769,5,8,,Several times a week,170.0,66.0,Male,1951.0
923777,6,9,,2-3 times a month,160.0,55.0,Female,1975.0
923785,9,8,,2-3 times a month,155.0,60.0,Female,1960.0
923793,8,Extremely happy,,Once a week,179.0,80.0,Male,1950.0
923808,9,5,20.0,Every day,172.0,76.0,Male,1955.0
923816,7,9,,2-3 times a month,165.0,70.0,Female,1999.0
923824,9,8,,Once a week,170.0,65.0,Female,1964.0
923832,8,8,10.0,Several times a week,173.0,60.0,Male,1994.0
923858,9,9,,2-3 times a month,180.0,70.0,Male,1977.0
923866,7,9,,Once a week,192.0,93.0,Male,1992.0
923882,8,9,4.0,Every day,179.0,87.0,Male,1935.0
923890,9,Extremely happy,,Once a week,173.0,60.0,Female,1996.0
923905,6,8,12.0,Once a week,196.0,135.0,Male,1995.0
923913,7,9,,Every day,170.0,70.0,Male,1943.0
923939,9,Extremely happy,,Several times a week,177.0,107.0,Male,1951.0
923971,9,7,,Never,166.0,82.0,Female,1929.0
923989,9,7,,2-3 times a month,180.0,70.0,Female,1959.0
923997,8,8,,Several times a week,190.0,110.0,Male,1954.0
924024,7,8,,Less than once a month,169.0,66.0,Female,1986.0
924032,7,Extremely happy,,Every day,174.0,72.0,Male,1926.0
924040,8,9,,Every day,172.0,92.0,Male,1942.0
924058,9,,10.0,Once a month,164.0,68.0,Female,1949.0
924066,5,6,,Every day,175.0,68.0,Male,1927.0
924074,8,9,,Several times a week,189.0,66.0,Male,1970.0
924090,9,5,,Every day,178.0,66.0,Male,1957.0
924105,8,8,15.0,Less than once a month,160.0,63.0,Female,1962.0
924113,8,8,,Several times a week,197.0,82.0,Male,1997.0
924121,5,7,10.0,Never,188.0,85.0,Male,1990.0
924139,8,8,,Once a month,174.0,79.0,Male,1951.0
924155,5,8,,Every day,180.0,70.0,Male,1935.0
924163,5,5,,Once a week,169.0,63.0,Male,1971.0
924171,3,7,10.0,Once a week,161.0,65.0,Female,1995.0
924202,9,,,Several times a week,170.0,74.0,Female,1970.0
924236,8,9,,Several times a week,178.0,93.0,Male,1952.0
924244,7,8,,Several times a week,178.0,90.0,Male,1983.0
924252,Most people can be trusted,9,,Once a month,169.0,56.0,Female,1995.0
924278,Most people can be trusted,Extremely happy,20.0,Several times a week,167.0,54.0,Female,1934.0
924325,8,9,,Once a month,175.0,78.0,Male,1971.0
924359,8,Extremely happy,,Once a week,165.0,72.0,Male,1937.0
924367,5,8,,Once a week,178.0,85.0,Male,1943.0
924375,7,Extremely happy,,Once a month,178.0,76.0,Female,1976.0
924383,3,8,,Never,175.0,94.0,Male,1946.0
924406,8,8,,Never,168.0,65.0,Female,1934.0
924430,7,8,,Once a week,178.0,69.0,Male,1957.0
924464,7,9,,Once a month,174.0,74.0,Female,1991.0
924472,8,8,,Less than once a month,168.0,72.0,Female,1989.0
924480,8,Extremely happy,,Less than once a month,166.0,65.0,Female,1957.0
924498,5,7,10.0,Several times a week,175.0,66.0,Male,1966.0
924503,7,8,,Every day,181.0,81.5,Male,1932.0
924511,8,9,20.0,Less than once a month,157.0,59.0,Male,1957.0
924529,8,9,,Several times a week,163.0,75.0,Female,1957.0
924545,5,Extremely happy,4.0,Never,172.0,75.0,Male,1979.0
